platform,comparison_type,comparison_target,domain
chatgpt,one_vs_rest,all_other_platforms,reutersconnect.com
chatgpt,one_vs_rest,all_other_platforms,aljazeera.com
chatgpt,one_vs_rest,all_other_platforms,whitehouse.gov
chatgpt,one_vs_rest,all_other_platforms,reuters.com
chatgpt,one_vs_rest,all_other_platforms,nhl.com
chatgpt,one_vs_rest,all_other_platforms,thedefensepost.com
chatgpt,one_vs_rest,all_other_platforms,abcnews.com
chatgpt,one_vs_rest,all_other_platforms,shiawaves.com
chatgpt,one_vs_rest,all_other_platforms,turkishminute.com
chatgpt,one_vs_rest,all_other_platforms,broadbandtvnews.com
chatgpt,one_vs_rest,all_other_platforms,army.mil
chatgpt,one_vs_rest,all_other_platforms,screendaily.com
chatgpt,one_vs_rest,all_other_platforms,deutschland.de
chatgpt,one_vs_rest,all_other_platforms,news4jax.com
chatgpt,one_vs_rest,all_other_platforms,eutoday.net
chatgpt,pairwise,claude,theguardian.com
chatgpt,pairwise,claude,reutersconnect.com
chatgpt,pairwise,claude,youtube.com
chatgpt,pairwise,claude,aljazeera.com
chatgpt,pairwise,claude,whitehouse.gov
chatgpt,pairwise,claude,reuters.com
chatgpt,pairwise,claude,nhl.com
chatgpt,pairwise,claude,thedefensepost.com
chatgpt,pairwise,claude,thetimes.com
chatgpt,pairwise,claude,abcnews.com
chatgpt,pairwise,claude,shiawaves.com
chatgpt,pairwise,claude,turkishminute.com
chatgpt,pairwise,claude,broadbandtvnews.com
chatgpt,pairwise,claude,independent.co.uk
chatgpt,pairwise,claude,euronews.com
chatgpt,pairwise,claude,army.mil
chatgpt,pairwise,claude,screendaily.com
chatgpt,pairwise,claude,deutschland.de
chatgpt,pairwise,claude,news4jax.com
chatgpt,pairwise,claude,eutoday.net
chatgpt,pairwise,grok,reutersconnect.com
chatgpt,pairwise,grok,aljazeera.com
chatgpt,pairwise,grok,whitehouse.gov
chatgpt,pairwise,grok,reuters.com
chatgpt,pairwise,grok,nhl.com
chatgpt,pairwise,grok,thedefensepost.com
chatgpt,pairwise,grok,abcnews.com
chatgpt,pairwise,grok,shiawaves.com
chatgpt,pairwise,grok,turkishminute.com
chatgpt,pairwise,grok,broadbandtvnews.com
chatgpt,pairwise,grok,army.mil
chatgpt,pairwise,grok,screendaily.com
chatgpt,pairwise,grok,deutschland.de
chatgpt,pairwise,grok,news4jax.com
chatgpt,pairwise,grok,eutoday.net
chatgpt,pairwise,deepseek,theguardian.com
chatgpt,pairwise,deepseek,reutersconnect.com
chatgpt,pairwise,deepseek,youtube.com
chatgpt,pairwise,deepseek,aljazeera.com
chatgpt,pairwise,deepseek,whitehouse.gov
chatgpt,pairwise,deepseek,reuters.com
chatgpt,pairwise,deepseek,nhl.com
chatgpt,pairwise,deepseek,thedefensepost.com
chatgpt,pairwise,deepseek,thetimes.com
chatgpt,pairwise,deepseek,abcnews.com
chatgpt,pairwise,deepseek,shiawaves.com
chatgpt,pairwise,deepseek,turkishminute.com
chatgpt,pairwise,deepseek,broadbandtvnews.com
chatgpt,pairwise,deepseek,independent.co.uk
chatgpt,pairwise,deepseek,euronews.com
chatgpt,pairwise,deepseek,army.mil
chatgpt,pairwise,deepseek,screendaily.com
chatgpt,pairwise,deepseek,deutschland.de
chatgpt,pairwise,deepseek,news4jax.com
chatgpt,pairwise,deepseek,eutoday.net
claude,one_vs_rest,all_other_platforms,larrys.substack.com
claude,one_vs_rest,all_other_platforms,claytodayonline.com
claude,one_vs_rest,all_other_platforms,eyeonannapolis.net
claude,one_vs_rest,all_other_platforms,wlbt.com
claude,one_vs_rest,all_other_platforms,wlns.com
claude,one_vs_rest,all_other_platforms,azfamily.com
claude,one_vs_rest,all_other_platforms,chicago.suntimes.com
claude,one_vs_rest,all_other_platforms,cnn.com
claude,one_vs_rest,all_other_platforms,timesofisrael.com
claude,one_vs_rest,all_other_platforms,foxnews.com
claude,pairwise,chatgpt,larrys.substack.com
claude,pairwise,chatgpt,wng.org
claude,pairwise,chatgpt,baltimoresun.com
claude,pairwise,chatgpt,justsecurity.org
claude,pairwise,chatgpt,claytodayonline.com
claude,pairwise,chatgpt,npr.org
claude,pairwise,chatgpt,eyeonannapolis.net
claude,pairwise,chatgpt,wlbt.com
claude,pairwise,chatgpt,wlns.com
claude,pairwise,chatgpt,azfamily.com
claude,pairwise,chatgpt,chicago.suntimes.com
claude,pairwise,chatgpt,cnn.com
claude,pairwise,chatgpt,wikipedia.org
claude,pairwise,chatgpt,timesofisrael.com
claude,pairwise,chatgpt,foxnews.com
claude,pairwise,grok,larrys.substack.com
claude,pairwise,grok,claytodayonline.com
claude,pairwise,grok,eyeonannapolis.net
claude,pairwise,grok,wlbt.com
claude,pairwise,grok,wlns.com
claude,pairwise,grok,azfamily.com
claude,pairwise,grok,chicago.suntimes.com
claude,pairwise,grok,cnn.com
claude,pairwise,grok,timesofisrael.com
claude,pairwise,grok,foxnews.com
claude,pairwise,deepseek,larrys.substack.com
claude,pairwise,deepseek,wng.org
claude,pairwise,deepseek,baltimoresun.com
claude,pairwise,deepseek,justsecurity.org
claude,pairwise,deepseek,claytodayonline.com
claude,pairwise,deepseek,npr.org
claude,pairwise,deepseek,eyeonannapolis.net
claude,pairwise,deepseek,wlbt.com
claude,pairwise,deepseek,wlns.com
claude,pairwise,deepseek,azfamily.com
claude,pairwise,deepseek,chicago.suntimes.com
claude,pairwise,deepseek,cnn.com
claude,pairwise,deepseek,wikipedia.org
claude,pairwise,deepseek,timesofisrael.com
claude,pairwise,deepseek,foxnews.com
grok,one_vs_rest,all_other_platforms,smh.com.au
grok,one_vs_rest,all_other_platforms,forbes.com
grok,one_vs_rest,all_other_platforms,cntraveler.com
grok,one_vs_rest,all_other_platforms,nytimes.com
grok,one_vs_rest,all_other_platforms,telegraph.co.uk
grok,one_vs_rest,all_other_platforms,travelandleisure.com
grok,one_vs_rest,all_other_platforms,union-bulletin.com
grok,one_vs_rest,all_other_platforms,scmp.com
grok,one_vs_rest,all_other_platforms,newsnetonline.org
grok,one_vs_rest,all_other_platforms,travel.usnews.com
grok,one_vs_rest,all_other_platforms,mercurynews.com
grok,one_vs_rest,all_other_platforms,101news.org
grok,one_vs_rest,all_other_platforms,mcall.com
grok,pairwise,chatgpt,npr.org
grok,pairwise,chatgpt,smh.com.au
grok,pairwise,chatgpt,forbes.com
grok,pairwise,chatgpt,cntraveler.com
grok,pairwise,chatgpt,dw.com
grok,pairwise,chatgpt,nytimes.com
grok,pairwise,chatgpt,telegraph.co.uk
grok,pairwise,chatgpt,travelandleisure.com
grok,pairwise,chatgpt,union-bulletin.com
grok,pairwise,chatgpt,scmp.com
grok,pairwise,chatgpt,newsnetonline.org
grok,pairwise,chatgpt,travel.usnews.com
grok,pairwise,chatgpt,mercurynews.com
grok,pairwise,chatgpt,101news.org
grok,pairwise,chatgpt,mcall.com
grok,pairwise,chatgpt,wikipedia.org
grok,pairwise,claude,smh.com.au
grok,pairwise,claude,democracynow.org
grok,pairwise,claude,youtube.com
grok,pairwise,claude,forbes.com
grok,pairwise,claude,independent.co.uk
grok,pairwise,claude,cntraveler.com
grok,pairwise,claude,dw.com
grok,pairwise,claude,nytimes.com
grok,pairwise,claude,telegraph.co.uk
grok,pairwise,claude,travelandleisure.com
grok,pairwise,claude,euronews.com
grok,pairwise,claude,union-bulletin.com
grok,pairwise,claude,scmp.com
grok,pairwise,claude,newsnetonline.org
grok,pairwise,claude,travel.usnews.com
grok,pairwise,claude,mercurynews.com
grok,pairwise,claude,101news.org
grok,pairwise,claude,mcall.com
grok,pairwise,deepseek,npr.org
grok,pairwise,deepseek,smh.com.au
grok,pairwise,deepseek,democracynow.org
grok,pairwise,deepseek,youtube.com
grok,pairwise,deepseek,forbes.com
grok,pairwise,deepseek,independent.co.uk
grok,pairwise,deepseek,cntraveler.com
grok,pairwise,deepseek,nytimes.com
grok,pairwise,deepseek,telegraph.co.uk
grok,pairwise,deepseek,travelandleisure.com
grok,pairwise,deepseek,euronews.com
grok,pairwise,deepseek,union-bulletin.com
grok,pairwise,deepseek,scmp.com
grok,pairwise,deepseek,newsnetonline.org
grok,pairwise,deepseek,travel.usnews.com
grok,pairwise,deepseek,mercurynews.com
grok,pairwise,deepseek,101news.org
grok,pairwise,deepseek,mcall.com
grok,pairwise,deepseek,wikipedia.org
deepseek,one_vs_rest,all_other_platforms,deutschlandfunk.de
deepseek,one_vs_rest,all_other_platforms,ab-in-den-urlaub.de
deepseek,one_vs_rest,all_other_platforms,today.rtl.lu
deepseek,one_vs_rest,all_other_platforms,sohu.com
deepseek,one_vs_rest,all_other_platforms,m.gmw.cn
deepseek,one_vs_rest,all_other_platforms,163.com
deepseek,one_vs_rest,all_other_platforms,toutiao.com
