domain,count
theguardian.com,8
youtube.com,4
reutersconnect.com,4
aljazeera.com,3
whitehouse.gov,3
reuters.com,2
nhl.com,2
ksat.com,1
g20.org,1
en.antaranews.com,1
mod.gov.ua,1
federalregister.gov,1
ts2.tech,1
chatnewstoday.ca,1
kyivindependent.com,1
china-briefing.com,1
eutoday.net,1
understandingwar.org,1
democracynow.org,1
army.mil,1
news4jax.com,1
thetimes.com,1
abcnews.com,1
shiawaves.com,1
turkishminute.com,1
thedefensepost.com,1
independent.co.uk,1
euronews.com,1
broadbandtvnews.com,1
screendaily.com,1
deutschland.de,1
militarnyi.com,1
