model,provider,result_key,sample_idx,sample_source,conv_id,turn_id,web_queries
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,web,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,"[[""news today""]]"
gpt-4.1-mini-2025-04-14,openai,non_web::6a8714f0-96c0-83eb-9e78-0d7b18dbf4e5::a03e9314-c73a-47f0-b01f-270474714e93,1,non_web,6a8714f0-96c0-83eb-9e78-0d7b18dbf4e5,a03e9314-c73a-47f0-b01f-270474714e93,[]
gpt-4.1-mini-2025-04-14,openai,non_web::6a8714b9-5438-83eb-8ea5-5238ce7a60cb::e21de86c-d803-4875-aca1-2cc4aef30a04,2,non_web,6a8714b9-5438-83eb-8ea5-5238ce7a60cb,e21de86c-d803-4875-aca1-2cc4aef30a04,[]
claude-sonnet-4-6,claude,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,web,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,"[[""top news today August 23 2026""], [""breaking news August 23 2026""]]"
claude-sonnet-4-6,claude,non_web::6a8714f0-96c0-83eb-9e78-0d7b18dbf4e5::a03e9314-c73a-47f0-b01f-270474714e93,1,non_web,6a8714f0-96c0-83eb-9e78-0d7b18dbf4e5,a03e9314-c73a-47f0-b01f-270474714e93,"[[""best places to visit in the world 2026""], [""top 10 must visit places in the world all time bucket list""], [""Machu Picchu Santorini Serengeti Kyoto Great Barrier Reef why visit world's best destinations""]]"
claude-sonnet-4-6,claude,non_web::6a8714b9-5438-83eb-8ea5-5238ce7a60cb::e21de86c-d803-4875-aca1-2cc4aef30a04,2,non_web,6a8714b9-5438-83eb-8ea5-5238ce7a60cb,e21de86c-d803-4875-aca1-2cc4aef30a04,[]
grok-4.3,grok,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,web,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,"[[""top news headlines August 23 2026""], [""breaking news today""]]"
grok-4.3,grok,non_web::6a8714f0-96c0-83eb-9e78-0d7b18dbf4e5::a03e9314-c73a-47f0-b01f-270474714e93,1,non_web,6a8714f0-96c0-83eb-9e78-0d7b18dbf4e5,a03e9314-c73a-47f0-b01f-270474714e93,"[[""top 10 best places to visit in the world""], [""best bucket list destinations world 2025 OR 2026""], [""most visited tourist attractions in the world""]]"
grok-4.3,grok,non_web::6a8714b9-5438-83eb-8ea5-5238ce7a60cb::e21de86c-d803-4875-aca1-2cc4aef30a04,2,non_web,6a8714b9-5438-83eb-8ea5-5238ce7a60cb,e21de86c-d803-4875-aca1-2cc4aef30a04,[]
deepseek-v4-flash,deepseek,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,web,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,"[[""today's top news headlines""], [""breaking news today""]]"
deepseek-v4-flash,deepseek,non_web::6a8714f0-96c0-83eb-9e78-0d7b18dbf4e5::a03e9314-c73a-47f0-b01f-270474714e93,1,non_web,6a8714f0-96c0-83eb-9e78-0d7b18dbf4e5,a03e9314-c73a-47f0-b01f-270474714e93,"[[""10 best places to visit in the world everyone should see""]]"
deepseek-v4-flash,deepseek,non_web::6a8714b9-5438-83eb-8ea5-5238ce7a60cb::e21de86c-d803-4875-aca1-2cc4aef30a04,2,non_web,6a8714b9-5438-83eb-8ea5-5238ce7a60cb,e21de86c-d803-4875-aca1-2cc4aef30a04,"[[""swap keys and values in python dictionary""]]"
