domain,count
npr.org,5
smh.com.au,5
democracynow.org,3
youtube.com,3
forbes.com,3
independent.co.uk,3
union-bulletin.com,2
euronews.com,2
travelandleisure.com,2
cntraveler.com,2
telegraph.co.uk,2
nytimes.com,2
dw.com,2
wng.org,1
moneycontrol.com,1
tripadvisor.com,1
cntraveller.in,1
worldpopulationreview.com,1
wfmz.com,1
indianexpress.com,1
wanderworthy.com,1
visualcapitalist.com,1
justsecurity.org,1
timeout.com,1
tripmemo.app,1
oceanicsociety.org,1
vogue.com.au,1
thetimes.com,1
bucketlisttravels.com,1
avygeo.com,1
cntraveller.com,1
baltimoresun.com,1
newsnetonline.org,1
travel.usnews.com,1
mercurynews.com,1
101news.org,1
mcall.com,1
wikipedia.org,1
scmp.com,1
cbc.ca,1
abc.net.au,1
washingtonpost.com,1
cnbctv18.com,1
theguardian.com,1
dawn.com,1
thehindu.com,1
creators.yahoo.com,1
