model,model_display,stage_idx,stage_label,dimension,dimension_display,score,count,total,rate
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,temporal,Temporal,1,2,3,0.6666666666666666
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,temporal,Temporal,2,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,temporal,Temporal,3,1,3,0.3333333333333333
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,temporal,Temporal,4,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,temporal,Temporal,5,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,geographic,Geographic,1,3,3,1.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,geographic,Geographic,2,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,geographic,Geographic,3,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,geographic,Geographic,4,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,geographic,Geographic,5,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,entity,Entity,1,3,3,1.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,entity,Entity,2,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,entity,Entity,3,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,entity,Entity,4,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,entity,Entity,5,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,numeric,Numeric,1,3,3,1.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,numeric,Numeric,2,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,numeric,Numeric,3,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,numeric,Numeric,4,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,0,User,numeric,Numeric,5,0,3,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,temporal,Temporal,1,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,temporal,Temporal,2,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,temporal,Temporal,3,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,temporal,Temporal,4,1,2,0.5
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,temporal,Temporal,5,1,2,0.5
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,geographic,Geographic,1,2,2,1.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,geographic,Geographic,2,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,geographic,Geographic,3,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,geographic,Geographic,4,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,geographic,Geographic,5,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,entity,Entity,1,2,2,1.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,entity,Entity,2,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,entity,Entity,3,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,entity,Entity,4,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,entity,Entity,5,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,numeric,Numeric,1,2,2,1.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,numeric,Numeric,2,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,numeric,Numeric,3,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,numeric,Numeric,4,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,numeric,Numeric,5,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,temporal,Temporal,1,1,2,0.5
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,temporal,Temporal,2,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,temporal,Temporal,3,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,temporal,Temporal,4,1,2,0.5
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,temporal,Temporal,5,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,geographic,Geographic,1,2,2,1.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,geographic,Geographic,2,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,geographic,Geographic,3,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,geographic,Geographic,4,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,geographic,Geographic,5,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,entity,Entity,1,2,2,1.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,entity,Entity,2,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,entity,Entity,3,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,entity,Entity,4,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,entity,Entity,5,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,numeric,Numeric,1,2,2,1.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,numeric,Numeric,2,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,numeric,Numeric,3,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,numeric,Numeric,4,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,numeric,Numeric,5,0,2,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,3,Iter. 3+,temporal,Temporal,1,1,1,1.0
claude-sonnet-4-6,Claude Sonnet 4.6,3,Iter. 3+,temporal,Temporal,2,0,1,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,3,Iter. 3+,temporal,Temporal,3,0,1,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,3,Iter. 3+,temporal,Temporal,4,0,1,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,3,Iter. 3+,temporal,Temporal,5,0,1,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,3,Iter. 3+,geographic,Geographic,1,0,1,0.0
